row,folder,file,cdn_url,status,error
13,0013_YESWOOD_Furniture_Store,16.jpg,,fail,Shopify 406: 
13,0013_YESWOOD_Furniture_Store,17.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
14,0014_YESWOOD_Furniture_Store,10.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
15,0015_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
16,0016_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
17,0017_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
18,0018_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
19,0019_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
20,0020_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
20,0020_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
20,0020_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
20,0020_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
20,0020_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
